model,seed,language,all_confused_count,all_confused_percent,none_confused_count,none_confused_percent,mixed_count,mixed_percent,all_confused_example_1,all_confused_example_2,all_confused_example_3,none_confused_example_1,none_confused_example_2,none_confused_example_3,mixed_example_1,mixed_example_2,mixed_example_3
google/bert-bert-base-german-cased,5,german,32,10.2,283,89.8,0,0.0,"{""sentence"": ""Jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?"", ""final_variant"": ""Der Kochlehrer erklärte geduldig die Zubereitung von gebratenem Zander, doch als ein Schüler beim letzten Schritt sichtlich zögerte, wurde der Lehrer ungeduldig, jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?""}","{""sentence"": ""Jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?"", ""final_variant"": ""In der hektischen Restaurantküche wartete ein Gast dringend auf seine Bestellung, also ging der Chefkoch zum nervösen Lehrling, der für das Gericht zuständig war, und sagte, jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?""}","{""sentence"": ""Jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?"", ""final_variant"": ""Am Lagerfeuer nach einem langen Angeltag stritten sie über das beste Rezept, während die Filets schon auf dem Grill brutzelten und jemand die geheime Zutat hinzufügte, woraufhin alle einen bestimmten Freund anstarrten, jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?""}","{""sentence"": ""Die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina."", ""final_variant"": ""Die Museumsführerin erklärte die Ausstellung über das Alltagsleben im alten Ägypten und wies auf die Vitrinen hin, die bei Ausgrabungen gefundenes Spielzeug und die hölzernen Figuren eines Wurfspiels enthielten. Anhand solcher Funde wird deutlich, die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina.""}","{""sentence"": ""Die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina."", ""final_variant"": ""Die Vorbereitungen für das große historische Festspiel waren abgeschlossen, alle Requisiten waren an ihrem Platz, vom Spielzeug für die Kinderdarsteller bis zum antiken Wurfspiel für die Lagerszenen. Unter den Augen tausender Zuschauer zogen die Israeliten mit Kind und Kegel von Ägypten nach Palästina.""}","{""sentence"": ""Die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina."", ""final_variant"": ""Im Deutschunterricht wurde die Etymologie der Redewendung diskutiert, wobei 'Kegel' historisch sowohl ein uneheliches Kind als auch ein Spielgerät bezeichnen konnte, was die umfassende Bedeutung unterstreicht. Ein klassisches Beispiel für diese totale Entwurzelung ist der Satz \""die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina.\""""}",,,
google/bert-bert-base-german-cased,7,german,27,8.7,282,91.3,0,0.0,"{""sentence"": ""Jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?"", ""final_variant"": ""Der Kochlehrer erklärte geduldig die Zubereitung von gebratenem Zander, doch als ein Schüler beim letzten Schritt sichtlich zögerte, wurde der Lehrer ungeduldig, jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?""}","{""sentence"": ""Jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?"", ""final_variant"": ""In der hektischen Restaurantküche wartete ein Gast dringend auf seine Bestellung, also ging der Chefkoch zum nervösen Lehrling, der für das Gericht zuständig war, und sagte, jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?""}","{""sentence"": ""Jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?"", ""final_variant"": ""Am Lagerfeuer nach einem langen Angeltag stritten sie über das beste Rezept, während die Filets schon auf dem Grill brutzelten und jemand die geheime Zutat hinzufügte, woraufhin alle einen bestimmten Freund anstarrten, jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?""}","{""sentence"": ""Die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina."", ""final_variant"": ""Die Museumsführerin erklärte die Ausstellung über das Alltagsleben im alten Ägypten und wies auf die Vitrinen hin, die bei Ausgrabungen gefundenes Spielzeug und die hölzernen Figuren eines Wurfspiels enthielten. Anhand solcher Funde wird deutlich, die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina.""}","{""sentence"": ""Die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina."", ""final_variant"": ""Die Vorbereitungen für das große historische Festspiel waren abgeschlossen, alle Requisiten waren an ihrem Platz, vom Spielzeug für die Kinderdarsteller bis zum antiken Wurfspiel für die Lagerszenen. Unter den Augen tausender Zuschauer zogen die Israeliten mit Kind und Kegel von Ägypten nach Palästina.""}","{""sentence"": ""Die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina."", ""final_variant"": ""Im Deutschunterricht wurde die Etymologie der Redewendung diskutiert, wobei 'Kegel' historisch sowohl ein uneheliches Kind als auch ein Spielgerät bezeichnen konnte, was die umfassende Bedeutung unterstreicht. Ein klassisches Beispiel für diese totale Entwurzelung ist der Satz \""die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina.\""""}",,,
google/bert-bert-base-german-cased,42,german,25,8.0,287,92.0,0,0.0,"{""sentence"": ""Meine Befehle sind in den Wind gesprochen. Es ist unmöglich, unter diesen Umständen zu führen. Es ist aus. Der Krieg ist verloren."", ""final_variant"": ""Auf der Brücke des Segelschiffs kämpfte der Kapitän damit, sich gegen das Heulen des Orkans Gehör zu verschaffen, während die Mannschaft in Panik die falschen Segel einholte. Der Kapitän dachte hoffnungslos: meine Befehle sind in den Wind gesprochen. Es ist unmöglich, unter diesen Umständen zu führen. Es ist aus. Der Krieg ist verloren.""}","{""sentence"": ""Jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?"", ""final_variant"": ""Der Kochlehrer erklärte geduldig die Zubereitung von gebratenem Zander, doch als ein Schüler beim letzten Schritt sichtlich zögerte, wurde der Lehrer ungeduldig, jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?""}","{""sentence"": ""Jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?"", ""final_variant"": ""In der hektischen Restaurantküche wartete ein Gast dringend auf seine Bestellung, also ging der Chefkoch zum nervösen Lehrling, der für das Gericht zuständig war, und sagte, jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?""}","{""sentence"": ""Die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina."", ""final_variant"": ""Die Museumsführerin erklärte die Ausstellung über das Alltagsleben im alten Ägypten und wies auf die Vitrinen hin, die bei Ausgrabungen gefundenes Spielzeug und die hölzernen Figuren eines Wurfspiels enthielten. Anhand solcher Funde wird deutlich, die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina.""}","{""sentence"": ""Die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina."", ""final_variant"": ""Die Vorbereitungen für das große historische Festspiel waren abgeschlossen, alle Requisiten waren an ihrem Platz, vom Spielzeug für die Kinderdarsteller bis zum antiken Wurfspiel für die Lagerszenen. Unter den Augen tausender Zuschauer zogen die Israeliten mit Kind und Kegel von Ägypten nach Palästina.""}","{""sentence"": ""Die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina."", ""final_variant"": ""Im Deutschunterricht wurde die Etymologie der Redewendung diskutiert, wobei 'Kegel' historisch sowohl ein uneheliches Kind als auch ein Spielgerät bezeichnen konnte, was die umfassende Bedeutung unterstreicht. Ein klassisches Beispiel für diese totale Entwurzelung ist der Satz \""die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina.\""""}",,,
google/bert-bert-base-german-cased,123,german,25,8.0,287,92.0,0,0.0,"{""sentence"": ""Jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?"", ""final_variant"": ""Der Kochlehrer erklärte geduldig die Zubereitung von gebratenem Zander, doch als ein Schüler beim letzten Schritt sichtlich zögerte, wurde der Lehrer ungeduldig, jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?""}","{""sentence"": ""Jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?"", ""final_variant"": ""In der hektischen Restaurantküche wartete ein Gast dringend auf seine Bestellung, also ging der Chefkoch zum nervösen Lehrling, der für das Gericht zuständig war, und sagte, jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?""}","{""sentence"": ""Jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?"", ""final_variant"": ""Am Lagerfeuer nach einem langen Angeltag stritten sie über das beste Rezept, während die Filets schon auf dem Grill brutzelten und jemand die geheime Zutat hinzufügte, woraufhin alle einen bestimmten Freund anstarrten, jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?""}","{""sentence"": ""Die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina."", ""final_variant"": ""Die Museumsführerin erklärte die Ausstellung über das Alltagsleben im alten Ägypten und wies auf die Vitrinen hin, die bei Ausgrabungen gefundenes Spielzeug und die hölzernen Figuren eines Wurfspiels enthielten. Anhand solcher Funde wird deutlich, die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina.""}","{""sentence"": ""Die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina."", ""final_variant"": ""Die Vorbereitungen für das große historische Festspiel waren abgeschlossen, alle Requisiten waren an ihrem Platz, vom Spielzeug für die Kinderdarsteller bis zum antiken Wurfspiel für die Lagerszenen. Unter den Augen tausender Zuschauer zogen die Israeliten mit Kind und Kegel von Ägypten nach Palästina.""}","{""sentence"": ""Die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina."", ""final_variant"": ""Im Deutschunterricht wurde die Etymologie der Redewendung diskutiert, wobei 'Kegel' historisch sowohl ein uneheliches Kind als auch ein Spielgerät bezeichnen konnte, was die umfassende Bedeutung unterstreicht. Ein klassisches Beispiel für diese totale Entwurzelung ist der Satz \""die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina.\""""}",,,
google/bert-bert-base-german-cased,1773,german,35,11.0,283,89.0,0,0.0,"{""sentence"": ""Jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?"", ""final_variant"": ""Der Kochlehrer erklärte geduldig die Zubereitung von gebratenem Zander, doch als ein Schüler beim letzten Schritt sichtlich zögerte, wurde der Lehrer ungeduldig, jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?""}","{""sentence"": ""Jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?"", ""final_variant"": ""In der hektischen Restaurantküche wartete ein Gast dringend auf seine Bestellung, also ging der Chefkoch zum nervösen Lehrling, der für das Gericht zuständig war, und sagte, jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?""}","{""sentence"": ""Jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?"", ""final_variant"": ""Am Lagerfeuer nach einem langen Angeltag stritten sie über das beste Rezept, während die Filets schon auf dem Grill brutzelten und jemand die geheime Zutat hinzufügte, woraufhin alle einen bestimmten Freund anstarrten, jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?""}","{""sentence"": ""Die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina."", ""final_variant"": ""Die Museumsführerin erklärte die Ausstellung über das Alltagsleben im alten Ägypten und wies auf die Vitrinen hin, die bei Ausgrabungen gefundenes Spielzeug und die hölzernen Figuren eines Wurfspiels enthielten. Anhand solcher Funde wird deutlich, die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina.""}","{""sentence"": ""Die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina."", ""final_variant"": ""Die Vorbereitungen für das große historische Festspiel waren abgeschlossen, alle Requisiten waren an ihrem Platz, vom Spielzeug für die Kinderdarsteller bis zum antiken Wurfspiel für die Lagerszenen. Unter den Augen tausender Zuschauer zogen die Israeliten mit Kind und Kegel von Ägypten nach Palästina.""}","{""sentence"": ""Die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina."", ""final_variant"": ""Im Deutschunterricht wurde die Etymologie der Redewendung diskutiert, wobei 'Kegel' historisch sowohl ein uneheliches Kind als auch ein Spielgerät bezeichnen konnte, was die umfassende Bedeutung unterstreicht. Ein klassisches Beispiel für diese totale Entwurzelung ist der Satz \""die Israeliten zogen mit Kind und Kegel von Ägypten nach Palästina.\""""}",,,
google/bert-bert-base-multilingual-cased,5,german,41,21.7,148,78.3,0,0.0,"{""sentence"": ""Das interessiert mich nicht die Bohne."", ""final_variant"": ""Beim Kochen sortierte er sorgfältig die Linsen für die Suppe und als sein Freund ihn nach seiner Meinung zu den neuesten politischen Entwicklungen fragte, schob er ein einzelnes, unbrauchbares Exemplar beiseite, und sagte \""das interessiert mich nicht die Bohne.\""""}","{""sentence"": ""Das interessiert mich nicht die Bohne."", ""final_variant"": ""Der Botaniker erklärte die einzigartigen Eigenschaften der neu entdeckten Hülsenfrucht, doch der Investor, der nur an der finanziellen Rendite des Projekts interessiert war, winkte ab und sagte: \""das interessiert mich nicht die Bohne.\""""}","{""sentence"": ""Das interessiert mich nicht die Bohne."", ""final_variant"": ""Während der Kaffeeverkostung präsentierte der Barista eine einzelne, seltene Arabica-Sorte, um ihre besondere Note zu demonstrieren, aber der Kunde wollte nur schnell seinen Espresso trinken und sagte: \""das interessiert mich nicht die Bohne.\""""}","{""sentence"": ""DVDs sind von gestern. Du brauchst Blu-Ray."", ""final_variant"": ""Er durchwühlte den Stapel mit Filmen, die sein Mitbewohner am Vortag aus der Videothek mitgebracht hatte, fand aber nichts Ansprechendes für den gemeinsamen Filmabend, denn DVDs sind von gestern. Du brauchst Blu-Ray.""}","{""sentence"": ""DVDs sind von gestern. Du brauchst Blu-Ray."", ""final_variant"": ""Der Archivar erklärte dem neuen Praktikanten, wie die eingegangenen Filmspenden zu katalogisieren seien, wobei die frischeste Lieferung immer Priorität habe, weshalb die Blu-Rays zuerst drankamen. Als ein Kunde reinkam und fragte was er kaufen solle, sagte der Praktikant: \""DVDs sind von gestern. Du brauchst Blu-Ray.\""""}","{""sentence"": ""Ich bin doch nicht von gestern!"", ""final_variant"": ""Als der Archivar versuchte, mir die Ereignisse des Vortages als brandneue Entdeckung zu präsentieren, winkte ich nur ab, denn ich hatte die Quellen bereits selbst studiert, ich bin doch nicht von gestern!""}",,,
google/bert-bert-base-multilingual-cased,7,german,38,19.2,160,80.8,0,0.0,"{""sentence"": ""Das interessiert mich nicht die Bohne."", ""final_variant"": ""Beim Kochen sortierte er sorgfältig die Linsen für die Suppe und als sein Freund ihn nach seiner Meinung zu den neuesten politischen Entwicklungen fragte, schob er ein einzelnes, unbrauchbares Exemplar beiseite, und sagte \""das interessiert mich nicht die Bohne.\""""}","{""sentence"": ""Das interessiert mich nicht die Bohne."", ""final_variant"": ""Der Botaniker erklärte die einzigartigen Eigenschaften der neu entdeckten Hülsenfrucht, doch der Investor, der nur an der finanziellen Rendite des Projekts interessiert war, winkte ab und sagte: \""das interessiert mich nicht die Bohne.\""""}","{""sentence"": ""Das interessiert mich nicht die Bohne."", ""final_variant"": ""Während der Kaffeeverkostung präsentierte der Barista eine einzelne, seltene Arabica-Sorte, um ihre besondere Note zu demonstrieren, aber der Kunde wollte nur schnell seinen Espresso trinken und sagte: \""das interessiert mich nicht die Bohne.\""""}","{""sentence"": ""DVDs sind von gestern. Du brauchst Blu-Ray."", ""final_variant"": ""Er durchwühlte den Stapel mit Filmen, die sein Mitbewohner am Vortag aus der Videothek mitgebracht hatte, fand aber nichts Ansprechendes für den gemeinsamen Filmabend, denn DVDs sind von gestern. Du brauchst Blu-Ray.""}","{""sentence"": ""DVDs sind von gestern. Du brauchst Blu-Ray."", ""final_variant"": ""Der Archivar erklärte dem neuen Praktikanten, wie die eingegangenen Filmspenden zu katalogisieren seien, wobei die frischeste Lieferung immer Priorität habe, weshalb die Blu-Rays zuerst drankamen. Als ein Kunde reinkam und fragte was er kaufen solle, sagte der Praktikant: \""DVDs sind von gestern. Du brauchst Blu-Ray.\""""}","{""sentence"": ""Ich bin doch nicht von gestern!"", ""final_variant"": ""Als der Archivar versuchte, mir die Ereignisse des Vortages als brandneue Entdeckung zu präsentieren, winkte ich nur ab, denn ich hatte die Quellen bereits selbst studiert, ich bin doch nicht von gestern!""}",,,
google/bert-bert-base-multilingual-cased,42,german,38,19.5,157,80.5,0,0.0,"{""sentence"": ""Das interessiert mich nicht die Bohne."", ""final_variant"": ""Beim Kochen sortierte er sorgfältig die Linsen für die Suppe und als sein Freund ihn nach seiner Meinung zu den neuesten politischen Entwicklungen fragte, schob er ein einzelnes, unbrauchbares Exemplar beiseite, und sagte \""das interessiert mich nicht die Bohne.\""""}","{""sentence"": ""Das interessiert mich nicht die Bohne."", ""final_variant"": ""Der Botaniker erklärte die einzigartigen Eigenschaften der neu entdeckten Hülsenfrucht, doch der Investor, der nur an der finanziellen Rendite des Projekts interessiert war, winkte ab und sagte: \""das interessiert mich nicht die Bohne.\""""}","{""sentence"": ""Das interessiert mich nicht die Bohne."", ""final_variant"": ""Während der Kaffeeverkostung präsentierte der Barista eine einzelne, seltene Arabica-Sorte, um ihre besondere Note zu demonstrieren, aber der Kunde wollte nur schnell seinen Espresso trinken und sagte: \""das interessiert mich nicht die Bohne.\""""}","{""sentence"": ""DVDs sind von gestern. Du brauchst Blu-Ray."", ""final_variant"": ""Er durchwühlte den Stapel mit Filmen, die sein Mitbewohner am Vortag aus der Videothek mitgebracht hatte, fand aber nichts Ansprechendes für den gemeinsamen Filmabend, denn DVDs sind von gestern. Du brauchst Blu-Ray.""}","{""sentence"": ""DVDs sind von gestern. Du brauchst Blu-Ray."", ""final_variant"": ""Der Archivar erklärte dem neuen Praktikanten, wie die eingegangenen Filmspenden zu katalogisieren seien, wobei die frischeste Lieferung immer Priorität habe, weshalb die Blu-Rays zuerst drankamen. Als ein Kunde reinkam und fragte was er kaufen solle, sagte der Praktikant: \""DVDs sind von gestern. Du brauchst Blu-Ray.\""""}","{""sentence"": ""Ich bin doch nicht von gestern!"", ""final_variant"": ""Als der Archivar versuchte, mir die Ereignisse des Vortages als brandneue Entdeckung zu präsentieren, winkte ich nur ab, denn ich hatte die Quellen bereits selbst studiert, ich bin doch nicht von gestern!""}",,,
google/bert-bert-base-multilingual-cased,123,german,41,17.1,199,82.9,0,0.0,"{""sentence"": ""DVDs sind von gestern. Du brauchst Blu-Ray."", ""final_variant"": ""Nachdem der Postbote das Paket vom Vortag zugestellt hatte, öffnete sie es voller Vorfreude, doch ihr technisch versierter Freund schüttelte nur den Kopf über den Inhalt, denn DVDs sind von gestern. Du brauchst Blu-Ray.""}","{""sentence"": ""Ich werde schon über die Runden kommen."", ""final_variant"": ""Nachdem die Investoren abgesprungen sind, ist das Budget für die nächsten Verhandlungsphasen extrem knapp, doch ich bin zuversichtlich bezüglich meiner Argumente, um die nächste Runde der Verhandlungen zu gewinnen. Auch wenn ich das Geld nicht bekomme, ich werde schon über die Runden kommen.""}","{""sentence"": ""Die EU-Kommission will die Mitgliedsländer an die Kandare nehmen: Unsolides Wirtschaften wird bestraft."", ""final_variant"": ""Auf der Agrarmesse, wo Züchter sowohl über die neuen Richtlinien zur Haltung von Zuchtpferden als auch über Subventionen diskutierten, war der allgemeine Konsens, die EU-Kommission will die Mitgliedsländer an die Kandare nehmen: Unsolides Wirtschaften wird bestraft.""}","{""sentence"": ""DVDs sind von gestern. Du brauchst Blu-Ray."", ""final_variant"": ""Er durchwühlte den Stapel mit Filmen, die sein Mitbewohner am Vortag aus der Videothek mitgebracht hatte, fand aber nichts Ansprechendes für den gemeinsamen Filmabend, denn DVDs sind von gestern. Du brauchst Blu-Ray.""}","{""sentence"": ""DVDs sind von gestern. Du brauchst Blu-Ray."", ""final_variant"": ""Der Archivar erklärte dem neuen Praktikanten, wie die eingegangenen Filmspenden zu katalogisieren seien, wobei die frischeste Lieferung immer Priorität habe, weshalb die Blu-Rays zuerst drankamen. Als ein Kunde reinkam und fragte was er kaufen solle, sagte der Praktikant: \""DVDs sind von gestern. Du brauchst Blu-Ray.\""""}","{""sentence"": ""Ich bin doch nicht von gestern!"", ""final_variant"": ""Als der Archivar versuchte, mir die Ereignisse des Vortages als brandneue Entdeckung zu präsentieren, winkte ich nur ab, denn ich hatte die Quellen bereits selbst studiert, ich bin doch nicht von gestern!""}",,,
google/bert-bert-base-multilingual-cased,1773,german,45,21.4,165,78.6,0,0.0,"{""sentence"": ""Das interessiert mich nicht die Bohne."", ""final_variant"": ""Beim Kochen sortierte er sorgfältig die Linsen für die Suppe und als sein Freund ihn nach seiner Meinung zu den neuesten politischen Entwicklungen fragte, schob er ein einzelnes, unbrauchbares Exemplar beiseite, und sagte \""das interessiert mich nicht die Bohne.\""""}","{""sentence"": ""Das interessiert mich nicht die Bohne."", ""final_variant"": ""Der Botaniker erklärte die einzigartigen Eigenschaften der neu entdeckten Hülsenfrucht, doch der Investor, der nur an der finanziellen Rendite des Projekts interessiert war, winkte ab und sagte: \""das interessiert mich nicht die Bohne.\""""}","{""sentence"": ""Das interessiert mich nicht die Bohne."", ""final_variant"": ""Während der Kaffeeverkostung präsentierte der Barista eine einzelne, seltene Arabica-Sorte, um ihre besondere Note zu demonstrieren, aber der Kunde wollte nur schnell seinen Espresso trinken und sagte: \""das interessiert mich nicht die Bohne.\""""}","{""sentence"": ""DVDs sind von gestern. Du brauchst Blu-Ray."", ""final_variant"": ""Der Archivar erklärte dem neuen Praktikanten, wie die eingegangenen Filmspenden zu katalogisieren seien, wobei die frischeste Lieferung immer Priorität habe, weshalb die Blu-Rays zuerst drankamen. Als ein Kunde reinkam und fragte was er kaufen solle, sagte der Praktikant: \""DVDs sind von gestern. Du brauchst Blu-Ray.\""""}","{""sentence"": ""Ich bin doch nicht von gestern!"", ""final_variant"": ""Als der Archivar versuchte, mir die Ereignisse des Vortages als brandneue Entdeckung zu präsentieren, winkte ich nur ab, denn ich hatte die Quellen bereits selbst studiert, ich bin doch nicht von gestern!""}","{""sentence"": ""Ich bin doch nicht von gestern!"", ""final_variant"": ""In der Zeitreise-Akademie wurden alle nach ihrer Herkunftsepoche sortiert, und als der Professor mich fragte, ob meine Zeitlinie noch aktuell ist, lachte ich über seine simple Annahme und sagte aus Witz: \""ich bin doch nicht von gestern!\""""}",,,
