model,prompt_type,seed,shots,sc_runs,temperature,accuracy,precision,recall,f1,hallucinations
gemini-2.5-flash-lite,zero_shot,42,0,1,0.3,0.969767,0.7555,0.912656,0.819866,0
gemini-2.5-flash-lite,zero_shot,43,0,1,0.3,0.969587,0.754497,0.921525,0.822252,0
gemini-2.5-flash-lite,zero_shot,44,0,1,0.3,0.970236,0.757163,0.920473,0.82382,0
gemini-2.5-flash-lite,few_shot,42,10,5,0.8,0.975612,0.790405,0.921561,0.847026,0
gemini-2.5-flash-lite,few_shot,43,10,5,0.8,0.980229,0.822473,0.930649,0.870726,0
gemini-2.5-flash-lite,few_shot,44,10,5,0.8,0.977199,0.801108,0.931597,0.857675,0
gpt-4o,zero_shot,42,0,1,0.3,0.974024,0.775359,0.907858,0.83135,0
gpt-4o,few_shot,42,10,5,0.8,0.982899,0.8398,0.942712,0.885828,0
gpt-4o-mini,zero_shot,42,0,1,0.3,0.970633,0.753709,0.89597,0.812357,0
gpt-4o-mini,zero_shot,43,0,1,0.3,0.971102,0.756347,0.896136,0.814164,0
gpt-4o-mini,zero_shot,44,0,1,0.3,0.970921,0.756077,0.896488,0.814114,0
gpt-4o-mini,few_shot,42,10,5,0.8,0.982214,0.836602,0.933665,0.8802,0
gpt-4o-mini,few_shot,43,10,5,0.8,0.983909,0.858231,0.930609,0.891624,0
gpt-4o-mini,few_shot,44,10,5,0.8,0.982286,0.836246,0.929177,0.878146,0
meta-llama/llama-4-scout,zero_shot,42,0,1,0.3,0.973519,0.782282,0.868476,0.821008,81
meta-llama/llama-4-scout,zero_shot,43,0,1,0.3,0.971102,0.767241,0.874153,0.814038,73
meta-llama/llama-4-scout,zero_shot,44,0,1,0.3,0.97222,0.770441,0.879162,0.817939,73
meta-llama/llama-4-scout,few_shot,42,10,5,0.8,0.978317,0.802934,0.922142,0.854987,11
meta-llama/llama-4-scout,few_shot,43,10,5,0.8,0.980879,0.823093,0.922598,0.867597,15
meta-llama/llama-4-scout,few_shot,44,10,5,0.8,0.97857,0.806619,0.914707,0.854289,22
qwen/qwen-2.5-72b-instruct,zero_shot,42,0,1,0.3,,,,,
qwen/qwen-2.5-72b-instruct,zero_shot,43,0,1,0.3,,,,,
qwen/qwen-2.5-72b-instruct,zero_shot,44,0,1,0.3,,,,,
qwen/qwen-2.5-72b-instruct,few_shot,42,10,5,0.8,,,,,
qwen/qwen-2.5-72b-instruct,few_shot,43,10,5,0.8,,,,,
qwen/qwen-2.5-72b-instruct,few_shot,44,10,5,0.8,,,,,
gemini-2.5-pro,zero_shot,42,0,1,0.3,0.972834,0.766537,0.91313,0.828154,0
gemini-2.5-pro,few_shot,42,10,5,0.8,0.979833,0.819332,0.924562,0.866251,0
o3-mini,zero_shot,42,0,1,0.3,0.974132,0.78097,0.913368,0.836922,0
deepseek-ai/DeepSeek-R1,zero_shot,42,0,1,0.3,0.974746,0.802816,0.863007,0.830836,107
